,word,count
1392,manhattan,4
1393,nice,383
1394,shanghainese,1
1395,cellar,1
1396,haba√,1
1397,flatbush,1
1398,evan,7
1399,wellworth,1
1400,afrobrazilian,1
1401,springsteen,1
1402,wonton,1
1403,e,1
1404,nast,1
1405,walked,1
1406,cooked,3
1407,paramedic,1
1408,leah,1
1409,partial,2
1410,baruch,1
1411,guanciale‚,1
1412,flavored‚,1
1413,cheerful,2
1414,chewable,1
1415,turkish,11
1416,itll,4
1417,young,45
1418,literary,1
1419,culinary,1
1420,friendly,69
1421,ingredient,1
1422,nichole,1
1423,garden,1
1424,yescash,1
1425,boozy,1
1426,bryant,1
1427,snide,1
1428,entire,11
1429,prefect,1
1430,magic,19
1431,stiff,1
1432,asparagus,1
1433,tre,1
1434,try,9
1435,havent,4
1436,bisquey,4
1437,trilingual,1
1438,tunisian,1
1439,mediterranean,4
1440,mural,9
1441,uncomfortable,4
1442,abominable,2
1443,odd,8
1444,dirtyhorrible,1
1445,delicous,3
1446,sweaty,2
1447,unhelpful,2
1448,19th,1
1449,indian,23
1450,ginny,1
1451,bird,1
1452,cozy,22
1453,frenchasian,1
1454,sexy,8
1455,1party,1
1456,great,2222
1457,joe‚,1
1458,receive,3
1459,aweful,1
1460,titanic,1
1461,snobby,1
1462,forbid,1
1463,ceasar,2
1464,private,26
1465,4people,1
1466,duck,1
1467,ninth,1
1468,macncheese,2
1469,illegal,4
1470,levant,1
1471,next,58
1472,few,89
1473,naanbig,1
1474,timetable,1
1475,belgian,2
1476,deadmusic,1
1477,aguacate,1
1478,rubbish,1
1479,rare,1
1480,inattentive,5
1481,chipotle,2
1482,salad,20
1483,ride,1
1484,gfree,1
1485,unreal,5
1486,obvious,2
1487,thin,18
1488,closing,2
1489,didnt,4
1490,kenny,1
1491,high,134
1492,modasian,1
1493,oniony,1
1494,tal,2
1495,enrique,1
1496,native,1
1497,lame,2
1498,brian,3
1499,animal,2
1500,cual,2
1501,comedy,2
1502,fare,1
1503,yellowish,1
1504,entree,2
1505,y,1
1506,stop,2
1507,ethnic,1
1508,upstate,2
1509,chocoholic,1
1510,colombianpride,1
1511,poached,5
1512,light,36
1513,rantic,1
1514,redundant,1
1515,bakery,1
1516,encyclopedic,1
1517,classy,1
1518,paan,1
1519,soggy,1
1520,unpalatable,1
1521,knowledgable,3
1522,gigante,1
1523,whilst,1
1524,maaaad,1
1525,perfect,28
1526,superior,27
1527,filete,1
1528,dr,1
1529,nostalgic,1
1530,dogfish,2
1531,orange,6
1532,nommy,1
1533,artisanal,3
1534,gaarlic,1
1535,dan,1
1536,legendary,5
1537,front,4
1538,february,6
1539,standoffish,1
1540,radiant,4
1541,feast,2
1542,edin,4
1543,erratic,1
1544,watery,1
1545,l√,2
1546,related,1
1547,hamb√∫rguer,1
1548,recomendable,1
1549,special,317
1550,matt,1
1551,boutique,1
1552,oriental,1
1553,socalled,1
1554,hilarious,5
1555,honorable,1
1556,red,11
1557,wizard,1
1558,que,4
1559,aplogetic,1
1560,organic,16
1561,avesnext,4
1562,david,1
1563,outlandish,1
1564,retail,2
1565,south,3
1566,ethical,1
1567,extremelyhelpful,1
1568,toughchewy,1
1569,fooddelicious,1
1570,final,6
1571,gummy,1
1572,gear,1
1573,shallow,4
1574,elite,2
1575,ghanaian,1
1576,loved,1
1577,ben,1
1578,bubble,344
1579,tommy,1
1580,yorgunluƒ,1
1581,steep,5
1582,dusty,1
1583,imaginative,1
1584,comfortable,13
1585,tonight,2
1586,halal,9
1587,have,8
1588,screw,1
1589,soak,1
1590,kristy,1
1591,mic,2
1592,able,6
1593,mid,1
1594,bus,1
1595,korean,15
1596,useful,4
1597,deny,1
1598,enthusiastic,1
1599,atypical,2
1600,upset,3
1601,scrambled,2
1602,absurd,1
1603,mechanical,1
1604,skinny,1
1605,atmosphere,1
1606,exclusive,3
1607,doughy,1
1608,deeeeeelightfuldelightful,1
1609,nowah,1
1610,dorothy,1
1611,chicken,26
1612,itallian,1
1613,principal,1
1614,noir,1
1615,noonjean,1
1616,terminal,6
1617,myriad,1
1618,gluttonous,1
1619,local,90
1620,meant,1
1621,handle,1
1622,exceptional,10
1623,beat,14
1624,unbeatable,11
1625,cranky,2
1626,lucky,7
1627,bear,1
1628,warmsheesh,1
1629,pancettatopped,1
1630,joint,10
1631,bean,12
1632,earlybig,1
1633,tbd,1
1634,romantic,10
1635,shy,2
1636,dangerous,1
1637,inventive,2
1638,national,9
1639,taiwanese,1
1640,cliveden,1
1641,desperate,1
1642,packed,2
1643,fantistic,1
1644,horrible,138
1645,unedable,1
1646,youll,33
1647,seafoodcentric,1
1648,unbelieveable,1
1649,pass√,4
1650,nutritious,1
1651,willing,4
1652,key,22
1653,kew,1
1654,precious,2
1655,optional,2
1656,legit,6
1657,undrinkable,1
1658,equal,1
1659,attentative,1
1660,atleast,1
1661,bamcaf√,1
1662,glorious,1
1663,comment,1
1664,invisible,1
1665,table,61
1666,worldirresistable,1
1667,tremendous,1
1668,decent,30
1669,balsamic,5
1670,marilyn,1
